"country","countryCode","date","isVerified","position","productAsin","ratingScore","reviewDescription","reviewReaction","reviewTitle","reviewUrl","reviewedIn","variant"
"United States",,"2023-04-14","true","1","B084ZJ6541","5","These were great for the price. Packaging was perfect and the product works well. Isn't strong or does harm to your gums.","","Great for the price!","https://www.amazon.com/gp/customer-reviews/R2LCCOUMJFQN4V/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B084ZJ6541","Reviewed in the United States on April 14, 2023",""
"United States",,"2023-04-13","true","2","B084ZJ6541","5","Numbs the gums for better use and seems to work well.","One person found this helpful","GREAT VALUE AND WORKs!","https://www.amazon.com/gp/customer-reviews/R171D6N6XYMYNH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B084ZJ6541","Reviewed in the United States on April 13, 2023",""
"United States",,"2023-04-06","true","3","B084ZJ6541","5","Great taste, doesn’t irritate sensitive gums!","One person found this helpful","Great for sensitive teeth and gums!","https://www.amazon.com/gp/customer-reviews/R2SZJHNNJSDQPD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B084ZJ6541","Reviewed in the United States on April 6, 2023",""
"United States",,"2023-04-05","true","4","B084ZJ6541","5","Great product and reasonable price","","Great Price!","https://www.amazon.com/gp/customer-reviews/R34NV2XEP0PLC6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B084ZJ6541","Reviewed in the United States on April 5, 2023",""
"United States",,"2023-03-28","true","5","B084ZJ6541","5","Worth the price and it works well taste great","","This prouct works","https://www.amazon.com/gp/customer-reviews/R2NENDGW4VZY5B/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B084ZJ6541","Reviewed in the United States on March 28, 2023",""
"United States",,"2023-03-03","true","6","B084ZJ6541","5","As my wife has grown older, despite proactive routine dental care, she has discovered that brushing her teeth with regular toothpaste has resulted in some mild discomfort. Hence, she tried Sensodyne toothpaste. Daily use has met her expectations and no discomfort from the brushing process. Recommend this product as effective.","One person found this helpful","Good Product","https://www.amazon.com/gp/customer-reviews/R65CCT6WII0MI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B084ZJ6541","Reviewed in the United States on March 3, 2023",""
"United States",,"2023-02-20","true","7","B084ZJ6541","4","My dental hygienist recommended this toothpaste and had even given me a sample to try.  So I bought these from Amazon (best price after comparing different stores), and am completely satisfied with it.  Will find out if it's helping my gums after I go back for my next teeth cleaning.","One person found this helpful","Seems to be working!","https://www.amazon.com/gp/customer-reviews/R3AFKRACEAWYEK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B084ZJ6541","Reviewed in the United States on February 20, 2023",""
"United States",,"2023-03-26","true","8","B084ZJ6541","5","No issues and great 3pack value","One person found this helpful","works for sensitive teeth","https://www.amazon.com/gp/customer-reviews/R17ZSC5BBG2JU2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B084ZJ6541","Reviewed in the United States on March 26, 2023",""
"United States",,"2023-03-24","true","9","B084ZJ6541","5","Very thick paste. I like","","Pretty good","https://www.amazon.com/gp/customer-reviews/RBK6655IQVRII/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B084ZJ6541","Reviewed in the United States on March 24, 2023",""
"United States",,"2023-03-07","true","10","B084ZJ6541","5","these products meet my dentist suggestion and I happy to get them in short time. I use it everyday and I will come back for more strongly.","","great product and fast shipping","https://www.amazon.com/gp/customer-reviews/R3CR71EP7KL44L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B084ZJ6541","Reviewed in the United States on March 7, 2023",""
