"country","countryCode","date","isVerified","position","productAsin","ratingScore","reviewDescription","reviewImages/0","reviewImages/1","reviewImages/2","reviewReaction","reviewTitle","reviewUrl","reviewedIn","variant"
"United States",,"2022-12-28","true","1","B079Y7RCZ6","5","I purchased this with my own money.—About the product:- Great deal, discount for 3 and Amazon had better pricing than competitors.- Love this toothpaste, have been using it for years.- My personal experience is that the more I use it, the more effective it is over time.- I’ve done dental whitening sessions without this toothpaste and it was painful, but using it prior to another session left minimal discomfort.- I have less sensitivity to hot and cold foods.- Love the extra fresh minty flavor (definitely a true mint and not a wintergreen- which I am not a fan of because I find wintergreen tastes like pepto 😆)- Some sensitivity toothpastes just don’t feel like they leave your teeth with that clean feeling- this one definitely makes my teeth feel super clean and leaves my breath fresh.—About purchasing the product from Amazon:- Well packaged in a recycled cardboard box to protect it from being damaged.- Foil sealed/protected and sanitary (which I fully appreciate since you hear and read weird things in other Amazon product reviews about receiving used, returned, or false goods)- Expiration date stamped on box and tube/matches and good for over a year (not about to expire soon)—Very happy with my purchase and recommend the product as well as purchasing it from Amazon.—I always appreciate reading other honest reviews and shared photos as proof so hopefully this helps others!","https://m.media-amazon.com/images/I/717+kfoIrlL._SY88.jpg","https://m.media-amazon.com/images/I/71pWHhZyqXL._SY88.jpg","https://m.media-amazon.com/images/I/81-W1UyCV-L._SY88.jpg","5 people found this helpful","Great for sensitive teeth & great purchase from Amazon","https://www.amazon.com/gp/customer-reviews/R3LVYAJ0FUB4DY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079Y7RCZ6","Reviewed in the United States on December 28, 2022",""
"United States",,"2023-03-30","true","2","B079Y7RCZ6","5","good toothpaste great to use.",,,,"","good toothpaste","https://www.amazon.com/gp/customer-reviews/R3K1OJ9SY1KSQ2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079Y7RCZ6","Reviewed in the United States on March 30, 2023",""
"United States",,"2023-03-12","true","3","B079Y7RCZ6","5","I liked that I could get 3 tubes for a good price. These were the big tubes. My gums are sensitive and this is good for that.",,,,"","Just watch prices","https://www.amazon.com/gp/customer-reviews/R2XTTNKNIQ9GHD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079Y7RCZ6","Reviewed in the United States on March 12, 2023",""
"United States",,"2023-02-27","true","4","B079Y7RCZ6","5","I've had minor tooth sensitivity, and regular Sensodyne has fixed it.  But recently I found myself with a more intense pain by two molars that wasn't completely relieved by regular Sensodyne.  I'm thankful for Rapid Relief, which works quicker and better on the pain.",,,,"","Best sensitivity toothpaste I've found","https://www.amazon.com/gp/customer-reviews/R21FVLSMQAX3QD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079Y7RCZ6","Reviewed in the United States on February 27, 2023",""
"United States",,"2023-03-07","true","5","B079Y7RCZ6","5","Please try this product if you have tooth pain.  I have receding gum line and experience tooth pain this toothpaste will reduce the pain.",,,,"","Do you have tooth pain?","https://www.amazon.com/gp/customer-reviews/R1CT62XA3HKT2E/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079Y7RCZ6","Reviewed in the United States on March 7, 2023",""
"United States",,"2023-03-06","true","6","B079Y7RCZ6","4","Didn't help going back with other toothpaste",,,,"","Not impressed","https://www.amazon.com/gp/customer-reviews/RAV6ABDHZUBEO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079Y7RCZ6","Reviewed in the United States on March 6, 2023",""
"United States",,"2023-02-22","true","7","B079Y7RCZ6","5","Has helped my wife and I with very sensitive teeth pain. Brush twice a day and feel the relief. Brush 3 times a day and it's even better.",,,,"","Best for Sensitive Teeth","https://www.amazon.com/gp/customer-reviews/RM9Y3CBM4Y2KJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079Y7RCZ6","Reviewed in the United States on February 22, 2023",""
"United States",,"2023-03-05","true","8","B079Y7RCZ6","5","Best tooth paste for sensitive gums. Good price on Amazon",,,,"","Sensodyne rapid relief","https://www.amazon.com/gp/customer-reviews/R3HA5IAB7KRYYF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079Y7RCZ6","Reviewed in the United States on March 5, 2023",""
"United States",,"2023-02-28","true","9","B079Y7RCZ6","5","Good toothpaste. Nice flavor and seems to do the job.",,,,"","As expected","https://www.amazon.com/gp/customer-reviews/R2XJEUPP7P8L1P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079Y7RCZ6","Reviewed in the United States on February 28, 2023",""
"United States",,"2023-02-17","true","10","B079Y7RCZ6","4","The toothpaste is dated 12/2023.",,,,"One person found this helpful","I know it works","https://www.amazon.com/gp/customer-reviews/R1D9STGWZMFWC9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079Y7RCZ6","Reviewed in the United States on February 17, 2023",""
"United States","🇺🇸","2020-08-12","true","411","B079Y7RCZ6","2","The first time I ordered I received 3 tubes, this time only 1 came. 17$ for 1 tube?! Expensive.",,,,"","Only received 1 tube, was supposed to receive 3.","https://www.amazon.com/gp/customer-reviews/R1N8OVJEE720G5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B079Y7RCZ6","Reviewed in the United States 🇺🇸 on August 12, 2020",""
