"country","countryCode","date","isVerified","position","productAsin","ratingScore","reviewDescription","reviewImages/0","reviewImages/1","reviewImages/2","reviewReaction","reviewTitle","reviewUrl","reviewedIn","variant"
"United States",,"2023-04-15","true","1","B095Z57SV9","5","My  dentist  likes  that  I'm using  Sensodyne  Repair &  Whitening  toothpaste.  I've noticed  my  teeth  stay white. Since I  drink  coffee and  eat  dark  foods  -grapes, berries,etc.,  this  toothpaste  helps a  lot. I've been  using  Sensodyne toothpastes  for  over  3  years . Love  'em !",,,,"","Sensodyne  really  works...","https://www.amazon.com/gp/customer-reviews/RWXB1VK9ZTJVI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z57SV9","Reviewed in the United States on April 15, 2023",""
"United States",,"2023-04-17","true","2","B095Z57SV9","5","Love the taste, cleaning my teeth",,,,"","It's good for teeth","https://www.amazon.com/gp/customer-reviews/RFCDP1LWNAFOM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z57SV9","Reviewed in the United States on April 17, 2023",""
"United States",,"2023-04-22","true","3","B095Z57SV9","5","enamel strength,",,,,"","enamel strength","https://www.amazon.com/gp/customer-reviews/RLI4U9TT5K8CI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z57SV9","Reviewed in the United States on April 22, 2023",""
"United States",,"2023-04-17","true","4","B095Z57SV9","5","The bulk of it all",,,,"","The price","https://www.amazon.com/gp/customer-reviews/RXKPCOGHIQCPN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z57SV9","Reviewed in the United States on April 17, 2023",""
"United States",,"2023-04-12","true","5","B095Z57SV9","5","Excelente producto ya no se siente la sensibilidad de los dientes",,,,"","Producto excelente","https://www.amazon.com/gp/customer-reviews/RKTY1EG9RN33S/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z57SV9","Reviewed in the United States on April 12, 2023",""
"United States",,"2023-04-09","true","6","B095Z57SV9","5","i dont remember using any other product i am 52 and never been to any dentist",,,,"","45 years trust","https://www.amazon.com/gp/customer-reviews/R25Y5BFSY706VV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z57SV9","Reviewed in the United States on April 9, 2023",""
"United States",,"2023-04-17","true","7","B095Z57SV9","5","Good",,,,"","Good","https://www.amazon.com/gp/customer-reviews/R1NG3U5U9704E4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z57SV9","Reviewed in the United States on April 17, 2023",""
"United States",,"2023-03-31","true","8","B095Z57SV9","5","Definitely relieves sensitive teeth. Works right away.",,,,"","Works for sensitive teeth","https://www.amazon.com/gp/customer-reviews/R192ADV890JLAK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z57SV9","Reviewed in the United States on March 31, 2023",""
"United States",,"2023-04-03","true","9","B095Z57SV9","5","Love it",,,,"","Great","https://www.amazon.com/gp/customer-reviews/R1QGJ8435ZY453/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z57SV9","Reviewed in the United States on April 3, 2023",""
"United States",,"2023-03-10","true","10","B095Z57SV9","5","me and my husband have weak enamel and needed something to help with eating. I no longer have any pain or sensitivity now when eating cold fruit or hot soup!",,,,"2 people found this helpful","big difference","https://www.amazon.com/gp/customer-reviews/R1GX80C7HHUE7Z/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z57SV9","Reviewed in the United States on March 10, 2023",""
